index;path;class_name;class_number
0;Emotions/Happy/YAF_wire_happy.wav;Happy;3
1;Emotions/Happy/03-02-03-02-02-02-16.wav;Happy;3
2;Emotions/Happy/OAF_bought_happy.wav;Happy;3
3;Emotions/Happy/1008_TAI_HAP_XX.wav;Happy;3
4;Emotions/Happy/03-02-03-02-02-02-02.wav;Happy;3
5;Emotions/Happy/1039_TSI_HAP_XX.wav;Happy;3
6;Emotions/Happy/1064_ITS_HAP_XX.wav;Happy;3
7;Emotions/Happy/1071_ITS_HAP_XX.wav;Happy;3
8;Emotions/Happy/YAF_hall_happy.wav;Happy;3
9;Emotions/Happy/1039_IEO_HAP_LO.wav;Happy;3
10;Emotions/Happy/1068_WSI_HAP_XX.wav;Happy;3
11;Emotions/Happy/YAF_gin_happy.wav;Happy;3
12;Emotions/Happy/1068_DFA_HAP_XX.wav;Happy;3
13;Emotions/Happy/03-02-03-01-01-02-02.wav;Happy;3
14;Emotions/Happy/03-02-03-01-01-02-16.wav;Happy;3
15;Emotions/Happy/03-02-03-02-01-02-22.wav;Happy;3
16;Emotions/Happy/1076_TIE_HAP_XX.wav;Happy;3
17;Emotions/Happy/1063_TIE_HAP_XX.wav;Happy;3
18;Emotions/Happy/1065_ITH_HAP_XX.wav;Happy;3
19;Emotions/Happy/1070_ITH_HAP_XX.wav;Happy;3
20;Emotions/Happy/1086_TAI_HAP_XX.wav;Happy;3
21;Emotions/Happy/1091_IEO_HAP_MD.wav;Happy;3
22;Emotions/Happy/1084_IEO_HAP_MD.wav;Happy;3
23;Emotions/Happy/1080_IEO_HAP_HI.wav;Happy;3
24;Emotions/Happy/n17.wav;Happy;3
25;Emotions/Happy/1068_MTI_HAP_XX.wav;Happy;3
26;Emotions/Happy/YAF_love_happy.wav;Happy;3
27;Emotions/Happy/OAF_peg_happy.wav;Happy;3
28;Emotions/Happy/03-02-03-01-02-02-22.wav;Happy;3
29;Emotions/Happy/n03.wav;Happy;3
30;Emotions/Happy/YAF_gaze_happy.wav;Happy;3
31;Emotions/Happy/YAF_kite_happy.wav;Happy;3
32;Emotions/Happy/1079_TAI_HAP_XX.wav;Happy;3
33;Emotions/Happy/03-01-03-01-01-02-06.wav;Happy;3
34;Emotions/Happy/1048_TSI_HAP_XX.wav;Happy;3
35;Emotions/Happy/03-01-03-01-01-02-12.wav;Happy;3
36;Emotions/Happy/YAF_team_happy.wav;Happy;3
37;Emotions/Happy/1082_MTI_HAP_XX.wav;Happy;3
38;Emotions/Happy/1015_ITS_HAP_XX.wav;Happy;3
39;Emotions/Happy/1019_WSI_HAP_XX.wav;Happy;3
40;Emotions/Happy/1089_TIE_HAP_XX.wav;Happy;3
41;Emotions/Happy/OAF_haze_happy.wav;Happy;3
42;Emotions/Happy/1048_IEO_HAP_LO.wav;Happy;3
43;Emotions/Happy/YAF_jar_happy.wav;Happy;3
44;Emotions/Happy/YAF_white_happy.wav;Happy;3
45;Emotions/Happy/03-01-03-02-02-02-12.wav;Happy;3
46;Emotions/Happy/h05.wav;Happy;3
47;Emotions/Happy/sa04.wav;Happy;3
48;Emotions/Happy/h11.wav;Happy;3
